temp,tempmax,precip,Conditions,label
60,74,0.46,"Rain , Thunderstorm",Wet
48,56,0.0, ,Mild
45,58,0.0, ,Mild
46,61,0.0, ,Mild
50,58,0.0, ,Mild
48,57,0.0, ,Mild
53,60,0.0, ,Mild
51,62,0.0, ,Mild
50,64,0.0, ,Mild
40,44,0.0, ,Mild
46,55,0.0, ,Mild
54,69,0.0, ,Mild
44,55,0.0, ,Mild
43,58,0.0, ,Mild
57,71,0.0, ,Mild
47,59,0.0, ,Mild
29,36,0.0, ,Mild
35,48,0.0, ,Mild
47,53,0.16,Rain,Wet
62,70,0.0,Fog,Mild
65,72,0.1,Rain,Mild
62,75,0.0, ,Mild
57,67,0.01,Rain,Mild
57,71,0.0, ,Mild
57,76,0.0, ,Mild
52,64,0.0, ,Mild
56,72,0.0, ,Mild
54,64,0.0, ,Mild
54,70,0.0, ,Mild
59,72,0.0, ,Mild
64,82,0.0, ,Mild
51,63,0.0, ,Mild
54,70,0.0, ,Mild
42,56,0.06,"Rain , Snow",Mild
33,40,0.05, ,Mild
48,70,0.0, ,Mild
60,76,0.0, ,Mild
47,60,0.02,Rain,Mild
33,39,0.05,Rain,Mild
38,49,0.0, ,Mild
48,65,0.0, ,Mild
68,80,0.0, ,Mild
66,76,0.0,Rain,Mild
45,55,0.02,Rain,Mild
40,46,0.0, ,Mild
53,64,0.15,Rain,Wet
40,48,0.0, ,Mild
29,32,0.0, ,Mild
34,38,0.0, ,Mild
51,65,0.0, ,Mild
59,76,0.0,Fog,Mild
48,60,0.0,Rain,Mild
35,36,0.1,Rain,Mild
45,57,0.0, ,Mild
51,69,0.0, ,Mild
67,86,0.0, ,Mild
59,76,0.0, ,Mild
68,76,0.0,Fog,Mild
70,81,0.0, ,Mild
69,82,0.0, ,Mild
73,82,0.0, ,Mild
70,83,0.0, ,Mild
57,72,0.0, ,Mild
63,77,0.0, ,Mild
74,86,0.0, ,Mild
66,76,0.0, ,Mild
62,71,0.0,Rain,Mild
44,52,0.11,Rain,Wet
45,59,0.0, ,Mild
62,80,0.0, ,Mild
68,82,0.0,Fog,Mild
51,73,0.08,Rain,Mild
36,47,0.08,"Rain , Thunderstorm",Mild
40,50,0.17,Rain,Wet
46,53,0.0, ,Mild
54,65,0.0, ,Mild
53,67,0.0, ,Mild
52,59,0.74,"Rain , Thunderstorm",Wet
49,58,0.11,Rain,Wet
61,71,0.01,Rain,Mild
70,83,0.0, ,Mild
60,70,0.0, ,Mild
52,68,0.0, ,Mild
62,75,0.0, ,Mild
68,74,0.07,"Fog , Rain",Mild
56,64,0.0, ,Mild
55,68,0.0, ,Mild
65,83,0.0, ,Mild
62,72,0.0, ,Mild
59,76,0.0, ,Mild
67,80,0.0,Fog,Mild
69,77,0.0, ,Mild
54,61,0.0, ,Mild
58,66,0.0, ,Mild
57,69,0.0, ,Mild
60,66,0.0,Rain,Mild
72,82,0.01,Rain,Mild
76,89,0.0,Thunderstorm,Mild
64,77,0.0, ,Mild
62,79,0.0, ,Mild
73,85,0.0, ,Mild
76,86,0.0, ,Mild
76,82,0.0,Rain,Mild
77,82,0.0, ,Mild
64,74,0.0,Rain,Mild
60,65,0.0, ,Mild
57,61,0.2,"Rain , Thunderstorm",Wet
62,72,0.27,"Rain , Thunderstorm",Wet
64,77,0.0, ,Mild
65,84,0.0, ,Mild
72,87,0.0, ,Mild
73,85,0.0, ,Mild
75,85,0.0, ,Mild
73,78,0.0, ,Mild
58,73,1.34,"Fog , Rain , Thunderstorm",Wet
52,65,0.0, ,Mild
57,73,0.0, ,Mild
62,67,0.06,Rain,Mild
69,78,0.01,Rain,Mild
66,78,0.0, ,Mild
68,75,0.0, ,Mild
74,84,0.01,"Rain , Thunderstorm",Mild
75,87,0.0, ,Mild
73,87,0.0, ,Mild
78,88,0.0, ,Mild
76,88,0.0, ,Mild
77,86,0.0,Rain,Mild
85,96,0.0, ,Hot
80,93,0.0, ,Hot
72,84,0.0, ,Mild
66,75,0.0, ,Mild
65,77,0.0, ,Mild
70,83,0.0, ,Mild
76,94,0.0, ,Mild
76,91,0.0, ,Mild
76,92,0.0, ,Mild
76,87,0.0, ,Mild
79,88,0.0, ,Mild
79,84,0.06,Rain,Mild
76,86,0.0,"Rain , Thunderstorm",Mild
76,91,0.0, ,Mild
83,93,0.0, ,Hot
72,82,2.45,"Fog , Rain , Thunderstorm",Wet
61,67,0.94,"Rain , Thunderstorm",Wet
64,76,0.14,Rain,Wet
65,84,0.0, ,Mild
74,86,0.0, ,Mild
73,86,0.0, ,Mild
74,85,0.0, ,Mild
76,86,0.0, ,Mild
78,89,0.0, ,Mild
80,89,0.0, ,Hot
79,87,0.0, ,Mild
78,84,0.19,"Fog , Rain",Wet
78,86,0.0, ,Mild
80,87,0.0,Thunderstorm,Hot
70,75,1.56,"Rain , Thunderstorm",Wet
68,73,1.75,"Fog , Rain , Thunderstorm",Wet
76,84,0.0, ,Mild
78,89,0.0, ,Mild
81,94,0.0, ,Hot
82,93,0.0, ,Hot
80,88,0.0, ,Hot
83,91,0.0, ,Hot
83,90,0.0, ,Hot
83,91,0.0, ,Hot
83,91,0.0, ,Hot
83,92,0.0, ,Hot
83,92,0.0, ,Hot
83,90,0.0,Rain,Hot
77,86,0.55,"Rain , Thunderstorm",Wet
78,92,0.0, ,Mild
80,94,0.0, ,Hot
